Date;Nom_Entreprise;Secteur;Type_Entreprise;Type_Pub;Programme;Quality_Score;Prix_Euros;Temps_Plateforme;Nb_Visites;Device;Heure_Achat;Visites_Avant_Achat;ID_Campagne;Numero_Campagne;Objectif_Audience_K_Vues;Audience_Realisee_K_Vues;Objectif_Atteint;Taux_Reussite_Campagne_Precedente;Media;Plateforme_Diffusion;Cible;Date_Debut;Date_Fin;Mois;Fenetre_Commerciale;Frequence;Audience_Placement_K_Vues;Reach_K;Couverture_Efficace_K;Taux_Lead;Taux_Vente;Leads_Realises;Ventes_Realises;Objectif_Conversion;Conversion_Realisee;Objectif_Conversion_Atteint
2020-01-09;AlgoBwa;Tech;Privé;Don;MOUN A MAS;5.7;344.2;25.6;4;Mobile;21.0;5.0;AlgoBwa_C01;1;400;236.0;Non;0;Karata;Instagram;Parent;2020-01-09;2020-04-06;1;Carnaval;3.37;22.2;6.6;6.6;0.0597;0.0151;1.328;0.336;18.3;19.969;Oui
2020-02-14;AlgoBwa;Tech;Particulier;Citation orale;MOUN A MAS;8.4;1614.78;29.3;3;Desktop;12.0;8.0;AlgoBwa_C01;1;400;236.0;Non;0;Karata;Instagram;Parent;2020-01-09;2020-04-06;2;Carnaval;3.59;44.7;12.5;12.5;0.0850;0.0186;3.805;0.832;18.3;19.969;Oui
2020-03-04;AlgoBwa;Tech;Privé;Placement produit;LIVE;5.8;2618.57;22.7;2;Desktop;19.0;8.0;AlgoBwa_C01;1;400;236.0;Non;0;Karata;Facebook;Parent;2020-01-09;2020-04-06;3;Carnaval;2.25;52.3;23.2;17.4;0.1582;0.0368;8.272;1.925;18.3;19.969;Oui
2020-03-08;AlgoBwa;Tech;Public;Mécénat;KARATA TOUR;8.9;1653.34;10.3;9;Tablet;9.0;10.0;AlgoBwa_C01;1;400;236.0;Non;0;Karata;Instagram;Parent;2020-01-09;2020-04-06;3;Carnaval;3.11;40.1;12.9;12.9;0.0456;0.0118;1.829;0.472;18.3;19.969;Oui
2020-03-11;AlgoBwa;Tech;Privé;Placement produit;MIZIK A;8.4;2137.1;26.3;1;Tablet;21.0;7.0;AlgoBwa_C01;1;400;236.0;Non;0;Karata;Spotify;Parent;2020-01-09;2020-04-06;3;Carnaval;1.72;33.5;19.5;11.2;0.0935;0.0330;3.133;1.105;18.3;19.969;Oui
2020-04-06;AlgoBwa;Tech;Association;Logo fin;LIVE;8.4;993.55;24.5;7;Desktop;21.0;8.0;AlgoBwa_C01;1;400;236.0;Non;0;Karata;YouTube;Parent;2020-01-09;2020-04-06;4;Standard;1.67;43.1;25.9;14.4;0.0371;0.0063;1.602;0.273;18.3;19.969;Oui
2020-04-07;AlgoBwa;Tech;Privé;Logo fin;LIVE;9.7;1363.87;16.3;3;Mobile;13.0;8.0;AlgoBwa_C02;2;500;546.8;Oui;25;Karata;Facebook;Parent;2020-04-07;2021-02-04;4;Standard;2.13;93.4;43.8;31.1;0.0426;0.0083;3.979;0.778;29.4;32.027;Oui
2020-04-23;AlgoBwa;Tech;Public;Placement produit;KARATA TOUR;5.5;1384.47;19.5;2;Mobile;19.0;7.0;AlgoBwa_C02;2;500;546.8;Oui;25;Karata;YouTube;Parent;2020-04-07;2021-02-04;4;Standard;1.45;118.3;81.5;39.4;0.0743;0.0217;8.783;2.563;29.4;32.027;Oui
2020-07-24;AlgoBwa;Tech;Privé;Logo fin;INSIDE MAS;7.8;885.63;12.5;2;Tablet;19.0;3.0;AlgoBwa_C02;2;500;546.8;Oui;25;Karata;Facebook;Parent;2020-04-07;2021-02-04;7;Été;2.61;72.8;27.9;24.3;0.0407;0.0083;2.960;0.602;29.4;32.027;Oui
2020-12-11;AlgoBwa;Tech;Privé;Mécénat;LIVE;7.0;1050.38;16.7;2;Mobile;21.0;4.0;AlgoBwa_C02;2;500;546.8;Oui;25;Karata;YouTube;Parent;2020-04-07;2021-02-04;12;Standard;1.63;91.2;56.1;30.4;0.0487;0.0088;4.438;0.800;29.4;32.027;Oui
